Id,Fecha,Edad,Rol,Zona,Tipo_de_resultado,Tipo_de_siniestro,Dia_de_la_semana,Sexo,Hora,Departamento,Localidad,Novedad,Tipo_de_Vehiculo,X,Y,Fecha_Hora,Momento_dia,Hora_pico,Coordenadas,Edad_estan,Rol_CONDUCTOR,Rol_PASAJERO,Rol_PEATON,Zona_RURAL,Zona_SUBURBANA,Zona_URBANA,Tipo_resultado_FCA,Tipo_resultado_FL,Tipo_resultado_HG,Tipo_resultado_HL,Dia_semana_DOMINGO,Dia_semana_JUEVES,Dia_semana_LUNES,Dia_semana_MARTES,Dia_semana_MIERCOLES,Dia_semana_SABADO,Dia_semana_VIERNES,Sexo_bin
1,2022-01-01,37.0,PASAJERO,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,8,MONTEVIDEO,MONTEVIDEO,14067171,AUTO,572280,6148440,2022-01-01 08:00:00,Mañana,1,"(6148440, 572280)",0.09792791789887322,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
2,2022-01-01,45.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,8,MONTEVIDEO,MONTEVIDEO,14067171,AUTO,572280,6148440,2022-01-01 08:00:00,Mañana,1,"(6148440, 572280)",0.5788089611290813,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
3,2022-01-01,69.0,CONDUCTOR,URBANA,HERIDO LEVE,CAIDA,SABADO,MASCULINO,16,MONTEVIDEO,MONTEVIDEO,14068548,BIRRODADO,571120,6145960,2022-01-01 16:00:00,Tarde,0,"(6145960, 571120)",2.021452090819706,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
4,2022-01-01,31.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,23,MONTEVIDEO,MONTEVIDEO,14069875,AUTO,581650,6149845,2022-01-01 23:00:00,Noche,0,"(6149845, 581650)",-0.2627328645237829,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
5,2022-01-01,19.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,5,MONTEVIDEO,MONTEVIDEO,14066691,BIRRODADO,577450,6139860,2022-01-01 05:00:00,Madrugada,0,"(6139860, 577450)",-0.9840544293690952,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
6,2022-01-01,29.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,5,MONTEVIDEO,MONTEVIDEO,14066691,BIRRODADO,577450,6139860,2022-01-01 05:00:00,Madrugada,0,"(6139860, 577450)",-0.38295312533133496,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
7,2022-01-01,39.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,FEMENINO,19,MONTEVIDEO,MONTEVIDEO,14068985,BIRRODADO,579040,6149800,2022-01-01 19:00:00,Noche,0,"(6149800, 579040)",0.21814817870642525,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
8,2022-01-01,23.0,CONDUCTOR,URBANA,HERIDO LEVE,CAIDA,SABADO,MASCULINO,20,MONTEVIDEO,MONTEVIDEO,14069092,BIRRODADO,562970,6147015,2022-01-01 20:00:00,Noche,0,"(6147015, 562970)",-0.743613907753991,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
9,2022-01-01,22.0,CONDUCTOR,URBANA,HERIDO LEVE,CAIDA,SABADO,MASCULINO,23,MONTEVIDEO,MONTEVIDEO,14069603,BIRRODADO,575515,6144930,2022-01-01 23:00:00,Noche,0,"(6144930, 575515)",-0.803724038157767,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
10,2022-01-01,30.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,SABADO,MASCULINO,23,MONTEVIDEO,MONTEVIDEO,14069875,BIRRODADO,581650,6149845,2022-01-01 23:00:00,Noche,0,"(6149845, 581650)",-0.3228429949275589,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
11,2022-02-01,19.0,PASAJERO,URBANA,HERIDO GRAVE,COLISION CON OBSTACULO EN CALZADA,DOMINGO,FEMENINO,0,MONTEVIDEO,MONTEVIDEO,14069730,AUTO,575895,6135685,2022-02-01 00:00:00,Madrugada,0,"(6135685, 575895)",-0.9840544293690952,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0
12,2022-02-01,43.0,PASAJERO,URBANA,HERIDO GRAVE,COLISION CON OBSTACULO EN CALZADA,DOMINGO,FEMENINO,0,MONTEVIDEO,MONTEVIDEO,14069730,AUTO,575895,6135685,2022-02-01 00:00:00,Madrugada,0,"(6135685, 575895)",0.4585887003215293,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0
13,2022-02-01,45.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION CON OBSTACULO EN CALZADA,DOMINGO,MASCULINO,0,MONTEVIDEO,MONTEVIDEO,14069730,AUTO,575895,6135685,2022-02-01 00:00:00,Madrugada,0,"(6135685, 575895)",0.5788089611290813,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
14,2022-02-01,11.0,PEATON,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,FEMENINO,14,MONTEVIDEO,MONTEVIDEO,14071944,BIRRODADO,580790,6144675,2022-02-01 14:00:00,Tarde,0,"(6144675, 580790)",-1.4649354725993033,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0
15,2022-02-01,20.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,16,MONTEVIDEO,MONTEVIDEO,14072299,BIRRODADO,571910,6142030,2022-02-01 16:00:00,Tarde,0,"(6142030, 571910)",-0.9239442989653192,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
16,2022-02-01,50.0,CONDUCTOR,URBANA,HERIDO GRAVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,18,MONTEVIDEO,MONTEVIDEO,14072795,BIRRODADO,584245,6140980,2022-02-01 18:00:00,Noche,1,"(6140980, 584245)",0.8793596131479614,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,1
17,2022-02-01,19.0,CONDUCTOR,URBANA,HERIDO LEVE,CAIDA,DOMINGO,MASCULINO,22,MONTEVIDEO,MONTEVIDEO,14073558,BIRRODADO,567245,6139265,2022-02-01 22:00:00,Noche,0,"(6139265, 567245)",-0.9840544293690952,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
18,2022-02-01,33.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,21,MONTEVIDEO,MONTEVIDEO,14073830,BIRRODADO,580480,6141240,2022-02-01 21:00:00,Noche,0,"(6141240, 580480)",-0.14251260371623087,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
19,2022-02-01,28.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,23,MONTEVIDEO,MONTEVIDEO,14074410,AUTO,575040,6141855,2022-02-01 23:00:00,Noche,0,"(6141855, 575040)",-0.44306325573511096,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
20,2022-02-01,28.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,19,MONTEVIDEO,MONTEVIDEO,14076848,BIRRODADO,577185,6134960,2022-02-01 19:00:00,Noche,0,"(6134960, 577185)",-0.44306325573511096,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
21,2022-02-01,65.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,FEMENINO,14,MONTEVIDEO,MONTEVIDEO,14071944,BIRRODADO,580790,6144675,2022-02-01 14:00:00,Tarde,0,"(6144675, 580790)",1.7810115692046018,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0
22,2022-02-01,22.0,PASAJERO,URBANA,HERIDO GRAVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,18,MONTEVIDEO,MONTEVIDEO,14072795,BIRRODADO,584245,6140980,2022-02-01 18:00:00,Noche,1,"(6140980, 584245)",-0.803724038157767,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,1
23,2022-02-01,12.0,PASAJERO,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,FEMENINO,19,MONTEVIDEO,MONTEVIDEO,14073000,BIRRODADO,577840,6144595,2022-02-01 19:00:00,Noche,0,"(6144595, 577840)",-1.4048253421955272,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0
24,2022-02-01,9.0,PASAJERO,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,19,MONTEVIDEO,MONTEVIDEO,14073000,BIRRODADO,577840,6144595,2022-02-01 19:00:00,Noche,0,"(6144595, 577840)",-1.5851557334068553,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
25,2022-02-01,34.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,19,MONTEVIDEO,MONTEVIDEO,14073000,BIRRODADO,577840,6144595,2022-02-01 19:00:00,Noche,0,"(6144595, 577840)",-0.08240247331245484,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
26,2022-02-01,35.370858335507435,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,20,MONTEVIDEO,MONTEVIDEO,14073531,BIRRODADO,573460,6142485,2022-02-01 20:00:00,Noche,0,"(6142485, 573460)",4.2710816503995387e-16,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
27,2022-02-01,17.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,20,MONTEVIDEO,MONTEVIDEO,14073531,BIRRODADO,573460,6142485,2022-02-01 20:00:00,Noche,0,"(6142485, 573460)",-1.1042746901766471,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,1
28,2022-02-01,19.0,CONDUCTOR,SUBURBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,MASCULINO,21,MONTEVIDEO,MONTEVIDEO,14073691,BIRRODADO,570390,6145595,2022-02-01 21:00:00,Noche,0,"(6145595, 570390)",-0.9840544293690952,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,1
29,2022-02-01,64.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,DOMINGO,FEMENINO,19,MONTEVIDEO,MONTEVIDEO,14076101,AUTO,575955,6141075,2022-02-01 19:00:00,Noche,0,"(6141075, 575955)",1.7209014388008257,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0
30,2022-03-01,44.0,CONDUCTOR,SUBURBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,LUNES,MASCULINO,6,MONTEVIDEO,MONTEVIDEO,14074965,BIRRODADO,559055,6150190,2022-03-01 06:00:00,Mañana,1,"(6150190, 559055)",0.5186988307253053,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
31,2022-03-01,49.0,CONDUCTOR,SUBURBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,LUNES,MASCULINO,6,MONTEVIDEO,MONTEVIDEO,14074965,BIRRODADO,559055,6150190,2022-03-01 06:00:00,Mañana,1,"(6150190, 559055)",0.8192494827441854,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
32,2022-03-01,28.0,CONDUCTOR,SUBURBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,LUNES,MASCULINO,14,MONTEVIDEO,MONTEVIDEO,14078073,BIRRODADO,571195,6148070,2022-03-01 14:00:00,Tarde,0,"(6148070, 571195)",-0.44306325573511096,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
33,2022-03-01,26.0,PEATON,URBANA,HERIDO LEVE,CAIDA,LUNES,MASCULINO,23,MONTEVIDEO,MONTEVIDEO,14085646,BIRRODADO,571145,6148225,2022-03-01 23:00:00,Noche,0,"(6148225, 571145)",-0.563283516542663,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1
34,2022-03-01,41.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,LUNES,MASCULINO,3,MONTEVIDEO,MONTEVIDEO,14074727,AUTO,576765,6143035,2022-03-01 03:00:00,Madrugada,0,"(6143035, 576765)",0.33836843951397727,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1
35,2022-03-01,34.0,CONDUCTOR,URBANA,HERIDO LEVE,CAIDA,LUNES,MASCULINO,6,MONTEVIDEO,MONTEVIDEO,14074961,BIRRODADO,574250,6144845,2022-03-01 06:00:00,Mañana,1,"(6144845, 574250)",-0.08240247331245484,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1
36,2022-03-01,49.0,CONDUCTOR,URBANA,HERIDO LEVE,COLISION ENTRE VEHICULOS,LUNES,FEMENINO,16,MONTEVIDEO,MONTEVIDEO,14079148,BIRRODADO,578380,6146405,2022-03-01 16:00:00,Tarde,0,"(6146405, 578380)",0.8192494827441854,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0
37,2022-03-01,31.0,CONDUCTOR,URBANA,FALLECIDO EN EL LUGAR,DESPISTE,LUNES,MASCULINO,20,MONTEVIDEO,MONTEVIDEO,14079689,AUTO,560000,6146765,2022-03-01 20:00:00,Noche,0,"(6146765, 560000)",-0.2627328645237829,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,1
